id	repository	commit_id	question																						
41	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	What happens when the tests_reward function cannot find the GRPO_TEST_RESULT pattern in stdout but the process exits with code 0?																						
42	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the default beta value and why is it set to 0?																						
45	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the difference between pass@1 and pass@All?																						
46	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how does SFT training avoid catastrophic forgetting?																						
49	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what does the nix dev shell include?																						
50	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	how does the dashboard compute error rate trends?																						
51	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what training parameters should I tweak if I have a GPU with 100GB VRAM?
52	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	if a model generates a perfect OCaml solution but wraps it in 6 code blocks with a paragraph of explanation after, what's the final reward?
53	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	can a completion ever get a non-zero compile score but a zero type check score?
54	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what's the lowest possible non-zero reward a completion can get?
56	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	why does the reward system use ProcessPoolExecutor instead of threads for parallel scoring?
57	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	if a test file has no assert statements at all, how does the partial credit system handle it?
58	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	can a solution receive both a style penalty and a degenerate penalty?
59	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	a model outputs just `failwith "not implemented"` — walk me through the exact reward it gets
60	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	what would happen if someone sets GRPO_NUM_GENERATIONS higher than GRPO_BATCH_SIZE?
61	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	the eval system and the RLVR training system both score completions — do they use the same reward logic or different implementations?
62	https://github.com/nilenso/grpo-trainer	5804a9a3ff2dc1bd727fb4399d07ecd490ef2ceb	why does the SFT system prompt say 'Respond only with runnable OCaml code' but the RLVR prompt template has detailed few-shot examples?
